Tipo,Precio Venta
Local,1573514
Local,817156
Local,961368
Local,1162624
Local,1766310
Local,1956068
Local,506256
Local,567611
Local,1704050
Local,1607710
Local,799356
Local,815467
Local,265289
Local,1197390
Local,669056
Local,2081868
Local,2102174
Local,1820285
Local,890925
Local,1847590
Local,789976
Local,1255595
Local,2170622
Local,1246058
Local,752896
Local,1385200
Local,1482068
Local,1957960
Local,1079670
Local,1112631
Local,1993446
Local,1646624
Local,821748
Local,1335499
Local,709596
Local,1934080
Local,1965472
Local,1360268
Local,1047917
Local,393736
Local,784080
Local,1677492
Local,2321325
Local,302100
Local,1065995
Local,1817442
Local,1468740
Local,1048714
Local,417626
Local,1108604
Local,435670
Local,1127274
Local,973206
Local,1433796
Local,738700
Local,1780812
Local,825759
Local,1057310
Local,997968
Local,601306
Local,425173
Local,1134840
Local,1128390
Local,1194342
Local,1056714
Local,1966615
Local,777868
Local,1475952
Local,739872
Local,898209
Local,1517292
Local,2065357
Local,1028159
Local,881868
Local,916229
Local,1760000
Local,1180036
Local,180048
Local,845790
Oficina,712416
Oficina,2158475
Oficina,627068
Oficina,1169496
Oficina,727552
Oficina,427390
Oficina,1170684
Oficina,1057784
Oficina,1426992
Oficina,579716
Oficina,2851058
Oficina,1294048
Oficina,512730
Oficina,1920240
Oficina,1436832
Oficina,699400
Oficina,1724008
Oficina,2047276
Oficina,1389096
Oficina,1268630
Oficina,1765225
Oficina,624435
Oficina,1128156
Oficina,1310520
Oficina,1259904
Oficina,1063648
Oficina,1891932
Oficina,1395681
Oficina,2275500
Oficina,2400476
Oficina,367584
Oficina,720882
Oficina,842343
Oficina,1297594
Oficina,1032000
Oficina,739206
Oficina,1382166
Oficina,1479548
Oficina,1006988
Oficina,1039500
Oficina,881804
Oficina,1081278
Oficina,1336298
Oficina,1437818
Oficina,589960
Oficina,786695
Oficina,1728221
Oficina,1150380
Oficina,413610
Oficina,361661
Oficina,1560889
Oficina,680830
Oficina,1181686
Oficina,961192
Oficina,1109980
Oficina,525210
Oficina,486472
Oficina,882784
Oficina,1883700
Oficina,1287807
Oficina,1042659
Oficina,1388175
Oficina,1980300
Oficina,1543344
Oficina,2524358
Oficina,406998
Oficina,458568
Oficina,590426
Oficina,322322
Oficina,924732
Oficina,851488
Oficina,1028224
Oficina,1166780
Oficina,946710
Oficina,2578696
Oficina,1316073
Oficina,1216254
Oficina,262777
Oficina,720902
Oficina,410316
Oficina,1514968
Oficina,694331
Oficina,1568754
Oficina,889658
Oficina,1571973
Oficina,613921
Oficina,1372686
Oficina,1275646
Oficina,391560
Oficina,2306238
Oficina,1153173
Oficina,1080548
Oficina,1953873
Oficina,2787016
Oficina,1773072
Oficina,651920
Oficina,329716
Oficina,1577692
Oficina,1022883
Oficina,1165842
Oficina,329681
Oficina,1793848
Oficina,1565839
Oficina,2085373
Oficina,901980
Oficina,1225244
Oficina,588023
Oficina,761056
Oficina,2202655
Oficina,1122240
Oficina,1343840
Oficina,1455693
Oficina,1522946
Oficina,1442280
Oficina,415552
Oficina,630224
Oficina,2208252
Oficina,1627200
Oficina,1709567
Oficina,1968632
Oficina,1566129
Oficina,1821758
Oficina,2328636
Oficina,1259202
Oficina,549120
Oficina,1070307
Oficina,412395
Oficina,1420012
Oficina,1598520
Oficina,2722146
Oficina,491706
Oficina,1869885
Oficina,1238202
Oficina,1373008
Oficina,307255
Oficina,1271592
Oficina,1127750
Oficina,1870757
Oficina,1414800
Oficina,1437360
Oficina,822504
Oficina,1008071
Oficina,1657880
Oficina,889980
Oficina,949693
Oficina,672987
Oficina,2138771
Oficina,573230
Oficina,1886541
Oficina,2083866
Oficina,1850644
Oficina,777686
Oficina,1615128
Oficina,1332030
Oficina,943800
Oficina,771108
Oficina,786714
Oficina,1279434
Oficina,879357
Oficina,899640
Oficina,712404
Oficina,1090782
Oficina,984192
Oficina,481656
Oficina,2436448
Oficina,647280
Oficina,1697640
Oficina,354270
Oficina,639952
Oficina,235746
Oficina,2151435
Oficina,1531000
Oficina,841232
Oficina,1152718
Oficina,867636
Oficina,1843074
Oficina,363261
Oficina,899228
Oficina,716272
Oficina,778141
Oficina,1523880
Oficina,375999
Oficina,454416
Oficina,1367366
Oficina,163920
Oficina,716793
Oficina,1033548
Oficina,1441188
Oficina,183105
Oficina,1270800
Oficina,1543428
Oficina,634583
Oficina,843180
Oficina,924741
Oficina,305756
Oficina,899014
Oficina,804768
Oficina,1864000
Oficina,662000
Oficina,742848
Oficina,1040871
Oficina,567072
Oficina,1579012
Oficina,2190752
Oficina,496806
Oficina,1039452
Oficina,1297686
Oficina,1053628
Oficina,368384
Oficina,1484028
Oficina,1241034
Oficina,586908
Oficina,1132608
Oficina,1257075
Oficina,850368
Oficina,381494
Oficina,866008
Oficina,519259
Oficina,2057496
Oficina,2202837
Oficina,764370
Oficina,740731
Oficina,2110900
Oficina,399488
Oficina,757260
Oficina,281548
Oficina,328646
Oficina,404352
Oficina,552513
Oficina,804327
Oficina,411669
Oficina,509356
Oficina,2233120
Oficina,442635
Oficina,872204
Oficina,1933372
Oficina,1789214
Oficina,2181353
Oficina,474864
Oficina,663845
Oficina,1031305
Oficina,994750
Oficina,1201462
Oficina,1931658
Oficina,1490114
Oficina,415866
Oficina,974956
Oficina,441373
Oficina,613275
Oficina,2299374
Oficina,549668
Oficina,257725
Oficina,749275
Oficina,1747392
Oficina,1420160
Oficina,2249576
Oficina,909606
Oficina,1473180
Oficina,945624
Oficina,1169860
Oficina,1867692
Oficina,991224
Oficina,511840
Oficina,1499134
Oficina,1327606
Oficina,2083779
Oficina,304113
Oficina,523481
Oficina,589155
Oficina,1093887
Oficina,912798
Oficina,2333058
Oficina,2070750
Oficina,526680
Oficina,804683
Oficina,421290
Oficina,1601600
Oficina,2323868
Oficina,363968
Oficina,655893
Oficina,747947
Oficina,1406563
Oficina,2868470
Oficina,536679
Oficina,857925
Oficina,701250
Oficina,940500
Oficina,2456958
Oficina,456672
Oficina,296856
Oficina,402462
Oficina,1555813
Oficina,2029607
Oficina,873000
Oficina,1109808
Oficina,2014110
Oficina,1730675
Oficina,1568697
Oficina,738430
Oficina,1437408
Oficina,562827
Oficina,1685132
Oficina,2487712
Oficina,609342
Oficina,1133199
Oficina,1970874
Oficina,1438827
Oficina,1197485
Oficina,2233899
Oficina,2111472
Oficina,656744
Oficina,378900
Oficina,757434
Oficina,1820448
Oficina,224342
Oficina,1747292
Oficina,693244
Oficina,1539800
Oficina,1157544
Oficina,506540
Oficina,2331324
Oficina,928243
Oficina,1660120
Oficina,319616
Oficina,800160
Oficina,1761200
Oficina,697746
Oficina,980934
Oficina,1191033
Oficina,1705712
Oficina,603780
Oficina,1171418
Oficina,1413698
Oficina,743265
Oficina,2797050
Oficina,823150
Oficina,2034042
Oficina,2427558
Oficina,328482
Oficina,238014
Oficina,733134
Oficina,1213312
Oficina,704894
Oficina,1944570
Oficina,1085160
Oficina,673552
Oficina,886215
Oficina,433008
Oficina,745600
Oficina,783380
Oficina,1819950
Oficina,1356498
Oficina,2203004
Oficina,2200405
Oficina,1214576
Oficina,1294176
Oficina,1752975
Oficina,795318
Oficina,458640
Oficina,696696
Oficina,1068376
Oficina,1637515
Oficina,1204005
Oficina,2235367
Oficina,958563
Oficina,413910
Oficina,2250348
Oficina,1736068
Oficina,1010862
Oficina,1087812
Oficina,2849763
Oficina,1298500
Oficina,654885
Oficina,409712
Oficina,1061710
Oficina,1039380
Oficina,1700994
Oficina,659022
Oficina,1095860
Oficina,670208
Oficina,1365936
Oficina,598195
Oficina,2874207
Oficina,696169
Oficina,1053227
Oficina,1984808
Oficina,733236
Oficina,1622400
Oficina,395149
Oficina,557604
Oficina,2539236
Oficina,2977318
Oficina,1994933
Oficina,1349705
Oficina,680606
Oficina,1299315
Oficina,920490
Oficina,1239525
Oficina,1057755
Oficina,604440
Oficina,779058
Oficina,2297985
Oficina,1040252
Oficina,1088616
Oficina,1475172
Oficina,958608
Oficina,1345545
Oficina,2008176
Oficina,1028988
Oficina,1319336
Oficina,594880
Oficina,2621925
Oficina,1480500
Oficina,1438866
Oficina,1300360
Oficina,1126944
Oficina,2267622
Oficina,400816
Oficina,1186380
Oficina,1270256
Oficina,342705
Oficina,1355805
Oficina,934200
Oficina,979056
Oficina,831204
Oficina,1095786
Oficina,1467360
Oficina,1169088
Oficina,1078668
Oficina,1696149
Oficina,339192
Oficina,645250
Oficina,1245165
Oficina,483828
Oficina,2662784
Oficina,486416
Oficina,1022140
Oficina,713250
Oficina,1635413
Oficina,1880032
Oficina,440500
Oficina,885969
Oficina,2563064
Oficina,2148783
Oficina,860676
Oficina,285136
Oficina,2902284
Oficina,2357240
Oficina,1789866
Oficina,1568610
Oficina,293303
Oficina,305945
Oficina,684588
Oficina,606279
Oficina,1859220
Oficina,1360966
Oficina,1195474
Oficina,905920
Oficina,905532
Oficina,520672
Oficina,713680
Oficina,347776
Oficina,470118
Oficina,774792
Oficina,940310
Oficina,1194726
Oficina,1656364
Oficina,591004
Oficina,725474
Oficina,845640
Oficina,2384334
Oficina,787400
Oficina,1063902
Oficina,394250
Oficina,293172
Oficina,807432
Oficina,463424
Oficina,1031320
