,Operación,Provincia,Superficie
153,Alquiler,Lleida,52
154,Alquiler,Girona,185
155,Venta,Girona,284
156,Venta,Tarragona,202
157,Alquiler,Lleida,100
158,Venta,Lleida,106
159,Venta,Tarragona,211
160,Venta,Tarragona,165
161,Alquiler,Lleida,251
162,Venta,Tarragona,266
163,Alquiler,Girona,287
164,Venta,Tarragona,104
165,Venta,Tarragona,250
166,Venta,Girona,169
167,Venta,Lleida,221
168,Alquiler,Barcelona,286
169,Alquiler,Lleida,73
170,Venta,Girona,144
171,Alquiler,Tarragona,108
172,Venta,Girona,268
173,Alquiler,Lleida,143
174,Venta,Barcelona,52
175,Alquiler,Lleida,193
176,Venta,Tarragona,148
177,Venta,Tarragona,118
178,Venta,Barcelona,156
179,Alquiler,Tarragona,201
180,Venta,Tarragona,42
181,Alquiler,Tarragona,162
182,Alquiler,Girona,231
183,Venta,Tarragona,273
184,Venta,Barcelona,265
185,Alquiler,Girona,87
186,Alquiler,Barcelona,95
187,Venta,Lleida,63
188,Venta,Girona,160
189,Alquiler,Lleida,95
190,Alquiler,Tarragona,71
191,Venta,Girona,56
192,Venta,Tarragona,59
193,Alquiler,Girona,117
194,Venta,Girona,62
195,Alquiler,Barcelona,281
196,Venta,Tarragona,87
197,Alquiler,Girona,174
198,Venta,Lleida,177
199,Venta,Tarragona,281
200,Venta,Girona,247
201,Alquiler,Girona,52
202,Alquiler,Girona,169
203,Alquiler,Barcelona,106
204,Venta,Girona,274
205,Alquiler,Lleida,250
206,Alquiler,Lleida,134
207,Venta,Lleida,156
208,Venta,Lleida,167
209,Alquiler,Lleida,206
210,Alquiler,Barcelona,269
211,Alquiler,Barcelona,63
212,Alquiler,Lleida,223
213,Venta,Girona,163
214,Alquiler,Girona,214
215,Venta,Tarragona,263
216,Alquiler,Lleida,216
217,Alquiler,Tarragona,65
218,Alquiler,Girona,46
219,Alquiler,Lleida,209
220,Alquiler,Barcelona,56
221,Alquiler,Girona,82
222,Alquiler,Girona,62
223,Venta,Tarragona,192
224,Alquiler,Barcelona,152
225,Alquiler,Tarragona,182
226,Venta,Lleida,179
227,Venta,Girona,211
228,Venta,Tarragona,117
229,Alquiler,Tarragona,186
230,Alquiler,Barcelona,143
231,Venta,Tarragona,212
232,Alquiler,Girona,246
233,Venta,Girona,230
234,Venta,Lleida,126
235,Venta,Girona,226
236,Venta,Tarragona,262
237,Alquiler,Barcelona,170
238,Alquiler,Lleida,268
239,Venta,Barcelona,164
240,Venta,Lleida,260
241,Venta,Barcelona,69
242,Venta,Lleida,298
243,Alquiler,Tarragona,284
244,Venta,Barcelona,239
245,Venta,Girona,287
246,Alquiler,Barcelona,159
247,Alquiler,Girona,136
248,Venta,Tarragona,223
249,Alquiler,Lleida,175
250,Venta,Lleida,124
251,Alquiler,Lleida,168
252,Venta,Tarragona,106
253,Venta,Girona,67
254,Alquiler,Barcelona,49
255,Venta,Girona,238
256,Alquiler,Lleida,261
257,Alquiler,Barcelona,242
258,Venta,Tarragona,138
259,Alquiler,Tarragona,258
260,Alquiler,Lleida,201
261,Alquiler,Barcelona,181
262,Alquiler,Barcelona,244
263,Alquiler,Tarragona,258
264,Venta,Barcelona,105
265,Alquiler,Tarragona,216
266,Venta,Girona,204
267,Alquiler,Girona,150
268,Venta,Lleida,52
269,Alquiler,Tarragona,223
270,Alquiler,Lleida,237
271,Venta,Lleida,270
272,Alquiler,Lleida,120
273,Alquiler,Lleida,113
274,Alquiler,Girona,193
275,Alquiler,Girona,110
276,Venta,Barcelona,209
277,Alquiler,Girona,125
278,Venta,Girona,244
279,Venta,Barcelona,154
280,Venta,Girona,258
281,Venta,Girona,285
282,Alquiler,Tarragona,137
283,Alquiler,Girona,262
284,Alquiler,Tarragona,143
285,Venta,Barcelona,65
286,Alquiler,Barcelona,225
287,Alquiler,Lleida,177
288,Venta,Lleida,163
289,Alquiler,Girona,227
290,Alquiler,Tarragona,295
291,Venta,Barcelona,54
292,Venta,Girona,82
293,Venta,Girona,86
294,Venta,Girona,133
295,Alquiler,Barcelona,235
296,Alquiler,Girona,288
297,Venta,Barcelona,106
298,Venta,Girona,45
299,Alquiler,Tarragona,85
300,Alquiler,Tarragona,178
301,Alquiler,Girona,211
302,Venta,Girona,209
303,Alquiler,Barcelona,298
304,Venta,Girona,249
305,Venta,Lleida,142
306,Venta,Lleida,196
307,Alquiler,Barcelona,228
308,Alquiler,Lleida,237
309,Venta,Lleida,121
310,Venta,Lleida,61
311,Venta,Girona,189
312,Alquiler,Barcelona,91
313,Alquiler,Tarragona,230
314,Alquiler,Barcelona,251
315,Alquiler,Barcelona,261
316,Alquiler,Barcelona,251
317,Alquiler,Lleida,46
318,Venta,Tarragona,123
319,Alquiler,Girona,277
320,Alquiler,Girona,190
321,Venta,Barcelona,42
322,Venta,Barcelona,237
323,Alquiler,Barcelona,155
324,Venta,Girona,60
325,Alquiler,Barcelona,179
326,Venta,Tarragona,180
327,Venta,Barcelona,273
328,Venta,Lleida,285
329,Alquiler,Girona,125
330,Alquiler,Barcelona,205
331,Alquiler,Girona,138
332,Venta,Barcelona,110
333,Alquiler,Tarragona,242
334,Venta,Lleida,148
335,Alquiler,Tarragona,227
336,Venta,Girona,102
337,Alquiler,Barcelona,41
338,Alquiler,Girona,75
339,Venta,Lleida,99
340,Venta,Tarragona,229
341,Alquiler,Lleida,259
342,Venta,Barcelona,175
343,Venta,Barcelona,146
344,Alquiler,Tarragona,131
345,Venta,Tarragona,202
346,Venta,Barcelona,173
347,Alquiler,Girona,187
348,Venta,Tarragona,234
349,Venta,Girona,103
350,Alquiler,Girona,75
351,Venta,Tarragona,241
352,Alquiler,Tarragona,257
353,Venta,Girona,122
354,Alquiler,Tarragona,209
355,Alquiler,Lleida,154
356,Venta,Girona,196
357,Venta,Barcelona,131
358,Venta,Lleida,130
359,Venta,Barcelona,156
360,Venta,Lleida,291
361,Venta,Lleida,141
362,Alquiler,Girona,68
363,Venta,Lleida,267
364,Alquiler,Tarragona,137
365,Venta,Lleida,137
366,Alquiler,Lleida,76
367,Venta,Girona,80
368,Alquiler,Barcelona,149
369,Alquiler,Tarragona,285
370,Venta,Barcelona,230
371,Alquiler,Lleida,163
372,Alquiler,Barcelona,131
373,Alquiler,Tarragona,167
374,Venta,Tarragona,230
375,Alquiler,Lleida,247
376,Alquiler,Barcelona,105
377,Alquiler,Girona,280
378,Venta,Girona,108
379,Venta,Lleida,269
380,Venta,Girona,123
381,Alquiler,Lleida,264
382,Alquiler,Lleida,298
383,Venta,Barcelona,200
384,Venta,Barcelona,197
385,Alquiler,Girona,184
386,Venta,Barcelona,119
387,Alquiler,Girona,137
388,Alquiler,Tarragona,196
389,Alquiler,Tarragona,65
390,Venta,Girona,300
391,Alquiler,Barcelona,202
392,Venta,Girona,225
393,Alquiler,Barcelona,203
394,Alquiler,Girona,192
395,Alquiler,Lleida,296
396,Venta,Barcelona,177
397,Venta,Girona,72
398,Venta,Tarragona,65
399,Venta,Tarragona,208
400,Alquiler,Barcelona,271
401,Alquiler,Lleida,278
402,Venta,Girona,90
403,Alquiler,Lleida,72
404,Venta,Tarragona,224
405,Venta,Barcelona,207
406,Venta,Barcelona,162
407,Alquiler,Barcelona,74
408,Venta,Girona,293
409,Alquiler,Lleida,46
410,Venta,Girona,90
411,Venta,Girona,148
412,Alquiler,Tarragona,189
413,Venta,Lleida,56
414,Venta,Barcelona,46
415,Alquiler,Lleida,201
416,Venta,Barcelona,254
417,Alquiler,Girona,287
418,Venta,Girona,174
419,Alquiler,Lleida,114
420,Venta,Barcelona,135
421,Alquiler,Barcelona,126
422,Alquiler,Barcelona,260
423,Venta,Barcelona,261
424,Venta,Girona,173
425,Alquiler,Lleida,207
426,Venta,Barcelona,81
427,Alquiler,Lleida,52
428,Alquiler,Tarragona,271
429,Venta,Tarragona,249
430,Alquiler,Tarragona,153
431,Alquiler,Lleida,205
432,Venta,Tarragona,144
433,Alquiler,Tarragona,246
434,Alquiler,Girona,233
435,Venta,Tarragona,105
436,Venta,Girona,107
437,Venta,Barcelona,158
438,Alquiler,Girona,298
439,Venta,Barcelona,115
440,Venta,Barcelona,102
441,Venta,Tarragona,211
442,Alquiler,Girona,245
443,Venta,Barcelona,102
444,Alquiler,Girona,44
445,Alquiler,Tarragona,57
446,Alquiler,Lleida,263
447,Alquiler,Girona,234
448,Venta,Girona,118
449,Alquiler,Lleida,248
450,Venta,Barcelona,54
451,Venta,Lleida,215
452,Venta,Girona,185
453,Alquiler,Barcelona,72
454,Alquiler,Barcelona,244
455,Venta,Lleida,195
456,Alquiler,Lleida,104
457,Alquiler,Barcelona,71
458,Venta,Girona,107
459,Alquiler,Barcelona,77
460,Venta,Girona,90
461,Alquiler,Lleida,204
462,Venta,Girona,214
463,Alquiler,Girona,143
464,Alquiler,Lleida,268
465,Alquiler,Tarragona,44
466,Venta,Girona,126
467,Venta,Tarragona,215
468,Alquiler,Barcelona,65
469,Venta,Tarragona,191
470,Venta,Lleida,155
471,Venta,Tarragona,297
472,Alquiler,Lleida,105
473,Venta,Girona,199
474,Alquiler,Tarragona,136
475,Alquiler,Lleida,88
476,Alquiler,Lleida,86
477,Alquiler,Lleida,189
478,Venta,Girona,232
479,Venta,Lleida,58
480,Alquiler,Barcelona,257
481,Venta,Tarragona,243
482,Venta,Lleida,134
483,Venta,Girona,153
484,Alquiler,Tarragona,122
485,Venta,Girona,283
486,Venta,Lleida,261
487,Alquiler,Lleida,185
488,Venta,Tarragona,60
489,Alquiler,Barcelona,234
490,Alquiler,Girona,62
491,Venta,Lleida,282
492,Alquiler,Lleida,299
493,Venta,Barcelona,274
494,Venta,Barcelona,268
495,Alquiler,Lleida,155
496,Venta,Girona,209
497,Alquiler,Tarragona,110
498,Venta,Barcelona,61
499,Alquiler,Lleida,240
500,Venta,Lleida,229
501,Alquiler,Lleida,224
502,Venta,Barcelona,72
503,Venta,Lleida,186
504,Venta,Tarragona,172
505,Alquiler,Tarragona,235
506,Alquiler,Tarragona,159
507,Venta,Barcelona,271
508,Venta,Tarragona,80
509,Alquiler,Barcelona,227
510,Venta,Lleida,40
511,Alquiler,Tarragona,239
512,Alquiler,Barcelona,191
513,Venta,Tarragona,76
514,Alquiler,Barcelona,47
515,Alquiler,Barcelona,119
516,Venta,Girona,174
517,Venta,Girona,108
518,Alquiler,Barcelona,123
519,Alquiler,Lleida,42
520,Venta,Barcelona,105
521,Venta,Lleida,223
522,Alquiler,Girona,270
523,Alquiler,Barcelona,159
524,Venta,Lleida,280
525,Venta,Girona,162
526,Alquiler,Barcelona,231
527,Alquiler,Lleida,231
528,Alquiler,Lleida,206
529,Venta,Lleida,86
530,Alquiler,Barcelona,112
531,Alquiler,Lleida,182
532,Venta,Tarragona,72
533,Venta,Girona,62
534,Alquiler,Lleida,280
535,Venta,Girona,197
536,Alquiler,Girona,117
537,Alquiler,Girona,279
538,Alquiler,Barcelona,111
539,Alquiler,Tarragona,87
540,Alquiler,Girona,62
541,Venta,Barcelona,182
542,Venta,Tarragona,101
543,Venta,Tarragona,79
544,Venta,Lleida,82
545,Venta,Lleida,65
546,Alquiler,Girona,200
547,Venta,Barcelona,286
548,Venta,Girona,237
549,Alquiler,Lleida,275
550,Alquiler,Girona,237
551,Venta,Barcelona,125
552,Venta,Barcelona,209
553,Venta,Barcelona,141
554,Venta,Girona,138
555,Venta,Lleida,57
556,Alquiler,Girona,198
557,Alquiler,Girona,246
558,Alquiler,Tarragona,188
559,Alquiler,Tarragona,285
560,Alquiler,Lleida,53
561,Alquiler,Girona,161
562,Venta,Barcelona,237
563,Alquiler,Lleida,112
564,Venta,Barcelona,147
565,Alquiler,Girona,266
566,Venta,Barcelona,98
567,Venta,Lleida,153
568,Alquiler,Tarragona,167
569,Alquiler,Lleida,79
570,Alquiler,Tarragona,44
571,Alquiler,Tarragona,235
572,Venta,Tarragona,243
573,Alquiler,Lleida,58
574,Alquiler,Barcelona,280
575,Venta,Barcelona,54
576,Venta,Barcelona,154
577,Venta,Girona,221
578,Venta,Girona,148
579,Venta,Tarragona,226
580,Venta,Tarragona,230
581,Venta,Lleida,290
582,Venta,Tarragona,297
583,Alquiler,Girona,257
584,Alquiler,Girona,161
585,Alquiler,Lleida,77
586,Alquiler,Barcelona,184
587,Alquiler,Tarragona,56
588,Venta,Tarragona,138
589,Venta,Tarragona,95
590,Alquiler,Girona,46
591,Alquiler,Girona,145
592,Venta,Tarragona,213
593,Alquiler,Tarragona,171
594,Venta,Barcelona,262
595,Venta,Lleida,62
596,Venta,Lleida,71
597,Venta,Lleida,94
598,Alquiler,Lleida,76
599,Alquiler,Barcelona,289
600,Alquiler,Girona,147
601,Venta,Girona,227
602,Alquiler,Barcelona,174
603,Alquiler,Lleida,149
604,Alquiler,Lleida,212
605,Alquiler,Lleida,45
606,Venta,Barcelona,49
607,Venta,Lleida,210
608,Venta,Lleida,287
609,Venta,Barcelona,127
610,Venta,Barcelona,294
611,Alquiler,Girona,92
612,Venta,Barcelona,225
613,Alquiler,Barcelona,241
614,Venta,Lleida,283
615,Alquiler,Barcelona,231
616,Venta,Lleida,172
617,Alquiler,Lleida,78
618,Alquiler,Barcelona,93
619,Alquiler,Barcelona,58
620,Venta,Tarragona,223
621,Venta,Barcelona,123
622,Venta,Tarragona,72
623,Venta,Tarragona,154
624,Alquiler,Girona,222
625,Alquiler,Tarragona,263
626,Alquiler,Lleida,86
627,Alquiler,Tarragona,212
628,Venta,Girona,249
629,Alquiler,Girona,170
630,Alquiler,Barcelona,272
631,Venta,Girona,201
632,Alquiler,Girona,167
633,Alquiler,Tarragona,283
634,Alquiler,Girona,197
635,Alquiler,Tarragona,181
636,Alquiler,Barcelona,95
637,Venta,Tarragona,116
638,Alquiler,Girona,277
639,Alquiler,Tarragona,182
640,Venta,Girona,249
641,Venta,Girona,119
642,Alquiler,Lleida,255
643,Alquiler,Tarragona,164
644,Venta,Tarragona,227
645,Alquiler,Lleida,168
646,Venta,Barcelona,67
647,Venta,Girona,267
648,Alquiler,Lleida,46
649,Venta,Lleida,80
650,Venta,Girona,207
651,Alquiler,Girona,259
652,Venta,Tarragona,147
653,Alquiler,Girona,207
654,Venta,Girona,293
655,Venta,Tarragona,252
656,Venta,Lleida,284
657,Venta,Tarragona,286
658,Alquiler,Barcelona,72
659,Venta,Tarragona,176
660,Venta,Girona,278
661,Alquiler,Girona,254
662,Alquiler,Barcelona,47
663,Alquiler,Girona,252
664,Alquiler,Girona,163
665,Venta,Lleida,271
666,Venta,Barcelona,116
667,Venta,Barcelona,195
668,Venta,Tarragona,290
669,Venta,Barcelona,289
670,Alquiler,Barcelona,235
671,Alquiler,Tarragona,186
672,Venta,Barcelona,67
673,Venta,Girona,152
674,Alquiler,Barcelona,62
675,Venta,Girona,47
676,Alquiler,Tarragona,54
677,Venta,Barcelona,225
678,Venta,Tarragona,113
679,Alquiler,Tarragona,249
680,Alquiler,Tarragona,284
681,Venta,Lleida,274
682,Alquiler,Lleida,121
683,Venta,Tarragona,247
684,Venta,Girona,97
685,Alquiler,Tarragona,57
686,Alquiler,Lleida,240
687,Venta,Lleida,163
688,Venta,Girona,64
689,Alquiler,Tarragona,81
690,Alquiler,Girona,118
691,Venta,Lleida,177
692,Venta,Barcelona,269
693,Alquiler,Lleida,88
694,Venta,Lleida,205
695,Alquiler,Tarragona,256
696,Alquiler,Barcelona,163
697,Alquiler,Girona,187
698,Alquiler,Girona,73
699,Alquiler,Girona,299
700,Venta,Girona,225
701,Alquiler,Girona,295
702,Venta,Tarragona,160
703,Alquiler,Barcelona,278
704,Alquiler,Tarragona,271
705,Alquiler,Girona,258
706,Venta,Girona,215
707,Venta,Tarragona,158
708,Alquiler,Tarragona,210
709,Venta,Lleida,274
710,Venta,Tarragona,289
711,Alquiler,Lleida,244
712,Venta,Barcelona,73
713,Alquiler,Lleida,235
714,Alquiler,Lleida,43
715,Alquiler,Barcelona,206
716,Alquiler,Tarragona,47
717,Alquiler,Girona,161
718,Venta,Tarragona,283
719,Venta,Tarragona,226
720,Venta,Tarragona,44
721,Alquiler,Girona,86
722,Alquiler,Girona,54
723,Alquiler,Barcelona,241
724,Alquiler,Barcelona,180
725,Venta,Girona,112
726,Alquiler,Girona,195
727,Venta,Barcelona,139
728,Alquiler,Lleida,197
729,Alquiler,Tarragona,284
730,Venta,Girona,109
731,Venta,Tarragona,117
732,Alquiler,Girona,164
733,Venta,Lleida,85
734,Alquiler,Barcelona,89
735,Venta,Barcelona,112
736,Alquiler,Lleida,85
737,Alquiler,Lleida,294
738,Venta,Barcelona,250
739,Alquiler,Barcelona,254
740,Venta,Tarragona,126
741,Venta,Barcelona,218
742,Venta,Lleida,56
743,Venta,Barcelona,99
744,Venta,Lleida,83
745,Alquiler,Tarragona,136
746,Alquiler,Barcelona,178
747,Alquiler,Girona,228
748,Venta,Lleida,114
749,Alquiler,Girona,294
750,Venta,Girona,132
751,Venta,Barcelona,182
752,Venta,Lleida,67
753,Alquiler,Tarragona,251
754,Venta,Tarragona,235
755,Alquiler,Tarragona,50
756,Venta,Barcelona,42
757,Venta,Barcelona,272
758,Alquiler,Tarragona,117
759,Alquiler,Barcelona,299
760,Venta,Girona,50
761,Venta,Barcelona,48
762,Alquiler,Girona,291
763,Alquiler,Girona,210
764,Alquiler,Girona,291
765,Alquiler,Girona,204
766,Alquiler,Barcelona,95
767,Venta,Girona,231
768,Venta,Barcelona,159
769,Venta,Lleida,185
770,Venta,Girona,44
771,Venta,Barcelona,277
772,Venta,Lleida,59
773,Alquiler,Tarragona,244
774,Venta,Lleida,204
775,Venta,Lleida,76
776,Alquiler,Tarragona,68
777,Alquiler,Barcelona,228
778,Alquiler,Tarragona,256
779,Venta,Tarragona,185
780,Alquiler,Lleida,158
781,Venta,Girona,74
782,Alquiler,Girona,219
783,Alquiler,Tarragona,83
784,Alquiler,Barcelona,228
785,Venta,Lleida,224
786,Venta,Barcelona,279
787,Venta,Girona,92
788,Venta,Barcelona,251
789,Venta,Tarragona,108
790,Venta,Girona,113
791,Venta,Tarragona,292
792,Venta,Lleida,88
793,Venta,Tarragona,277
794,Alquiler,Tarragona,74
795,Alquiler,Lleida,110
796,Venta,Barcelona,255
797,Venta,Girona,222
798,Alquiler,Tarragona,278
799,Alquiler,Tarragona,67
800,Alquiler,Tarragona,159
801,Venta,Lleida,114
802,Alquiler,Tarragona,163
803,Venta,Girona,114
804,Alquiler,Barcelona,243
805,Venta,Girona,43
806,Alquiler,Tarragona,259
807,Alquiler,Girona,119
808,Venta,Tarragona,222
809,Venta,Barcelona,51
810,Venta,Lleida,214
811,Venta,Tarragona,236
812,Venta,Girona,138
813,Alquiler,Barcelona,192
814,Venta,Tarragona,182
815,Alquiler,Barcelona,232
816,Alquiler,Barcelona,158
817,Alquiler,Tarragona,49
818,Venta,Barcelona,102
819,Alquiler,Tarragona,206
820,Venta,Girona,161
821,Venta,Tarragona,259
822,Venta,Lleida,177
823,Alquiler,Girona,60
824,Venta,Tarragona,172
825,Alquiler,Girona,239
826,Venta,Tarragona,149
827,Alquiler,Barcelona,199
828,Venta,Lleida,152
829,Venta,Lleida,143
830,Venta,Girona,115
831,Alquiler,Tarragona,87
832,Alquiler,Lleida,212
833,Venta,Barcelona,73
834,Venta,Lleida,168
835,Venta,Tarragona,274
836,Venta,Girona,127
837,Alquiler,Girona,62
838,Venta,Lleida,109
839,Alquiler,Girona,114
840,Venta,Girona,120
841,Venta,Barcelona,109
842,Venta,Barcelona,175
843,Alquiler,Tarragona,121
844,Venta,Tarragona,280
845,Alquiler,Tarragona,246
846,Alquiler,Girona,121
847,Alquiler,Tarragona,223
848,Venta,Tarragona,120
849,Alquiler,Girona,159
850,Alquiler,Girona,157
851,Alquiler,Girona,237
852,Venta,Tarragona,246
853,Alquiler,Lleida,299
854,Venta,Girona,223
855,Venta,Barcelona,247
856,Venta,Girona,238
857,Alquiler,Lleida,251
858,Venta,Barcelona,65
859,Venta,Lleida,288
860,Alquiler,Girona,96
861,Alquiler,Barcelona,152
862,Alquiler,Barcelona,246
863,Venta,Girona,108
864,Alquiler,Girona,110
865,Venta,Girona,136
866,Venta,Tarragona,82
867,Venta,Tarragona,127
868,Alquiler,Lleida,183
869,Venta,Tarragona,245
870,Alquiler,Tarragona,88
871,Alquiler,Girona,185
872,Alquiler,Lleida,295
873,Venta,Tarragona,80
874,Alquiler,Girona,147
875,Venta,Tarragona,114
876,Alquiler,Lleida,128
877,Alquiler,Barcelona,145
878,Venta,Lleida,147
879,Alquiler,Lleida,272
880,Alquiler,Lleida,113
881,Venta,Tarragona,220
882,Venta,Girona,266
883,Venta,Girona,125
884,Alquiler,Lleida,151
885,Venta,Girona,133
886,Alquiler,Barcelona,160
887,Alquiler,Lleida,95
888,Alquiler,Lleida,236
889,Venta,Tarragona,165
890,Venta,Girona,255
891,Alquiler,Tarragona,226
892,Venta,Tarragona,228
893,Alquiler,Lleida,92
894,Alquiler,Barcelona,229
895,Alquiler,Tarragona,226
896,Alquiler,Lleida,64
897,Venta,Barcelona,258
898,Venta,Barcelona,58
899,Alquiler,Barcelona,136
900,Alquiler,Girona,294
901,Alquiler,Barcelona,294
902,Alquiler,Tarragona,151
903,Venta,Barcelona,62
904,Alquiler,Girona,116
905,Alquiler,Tarragona,68
906,Alquiler,Barcelona,59
907,Venta,Girona,134
908,Venta,Tarragona,127
909,Alquiler,Tarragona,197
910,Alquiler,Barcelona,135
911,Alquiler,Lleida,200
912,Alquiler,Lleida,250
913,Venta,Girona,48
914,Venta,Girona,285
915,Alquiler,Lleida,155
916,Venta,Tarragona,263
917,Alquiler,Lleida,197
918,Alquiler,Lleida,270
919,Venta,Barcelona,137
920,Venta,Tarragona,163
921,Venta,Lleida,217
922,Venta,Tarragona,257
923,Alquiler,Girona,283
924,Alquiler,Lleida,298
925,Alquiler,Barcelona,298
926,Alquiler,Barcelona,151
927,Alquiler,Barcelona,283
928,Alquiler,Tarragona,73
929,Venta,Tarragona,161
930,Venta,Lleida,223
931,Venta,Lleida,121
932,Alquiler,Tarragona,150
933,Alquiler,Girona,228
934,Alquiler,Lleida,164
935,Alquiler,Girona,116
936,Alquiler,Girona,276
937,Venta,Barcelona,158
938,Alquiler,Girona,216
939,Venta,Barcelona,249
940,Venta,Barcelona,68
941,Alquiler,Tarragona,177
942,Venta,Tarragona,268
943,Alquiler,Girona,66
944,Venta,Tarragona,162
945,Venta,Girona,243
946,Venta,Lleida,103
947,Alquiler,Girona,237
948,Alquiler,Barcelona,206
949,Venta,Girona,233
950,Venta,Barcelona,65
951,Venta,Barcelona,142
952,Alquiler,Girona,240
953,Venta,Lleida,68
954,Venta,Girona,200
955,Venta,Tarragona,80
956,Alquiler,Tarragona,84
957,Alquiler,Tarragona,227
958,Venta,Tarragona,291
959,Venta,Girona,275
960,Alquiler,Girona,96
961,Alquiler,Barcelona,174
962,Venta,Lleida,190
963,Venta,Girona,185
964,Venta,Girona,56
965,Alquiler,Lleida,213
966,Venta,Girona,175
967,Alquiler,Lleida,96
968,Venta,Lleida,272
969,Alquiler,Girona,232
970,Venta,Lleida,200
971,Venta,Girona,219
972,Alquiler,Lleida,126
973,Alquiler,Lleida,131
974,Venta,Lleida,77
975,Alquiler,Barcelona,232
976,Alquiler,Barcelona,199
977,Venta,Tarragona,115
978,Alquiler,Barcelona,97
979,Venta,Barcelona,122
980,Venta,Girona,278
