,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
443,444,2004-06-17,Parking,Venta,Barcelona,102,1005312,2005-06-09,Luisa
450,451,2004-06-18,Oficina,Venta,Barcelona,54,406998,2005-04-25,Joaquín
453,454,2004-06-19,Oficina,Alquiler,Barcelona,72,458568,2004-10-06,Luisa
454,455,2004-06-20,Parking,Alquiler,Barcelona,244,2439512,2005-01-02,Carmen
457,458,2004-06-20,Piso,Alquiler,Barcelona,71,587880,2004-10-03,Jesús
459,460,2004-06-22,Oficina,Alquiler,Barcelona,77,322322,2005-03-12,Joaquín
468,469,2004-06-24,Casa,Alquiler,Barcelona,65,546780,2004-12-13,Pedro
480,481,2004-06-29,Oficina,Alquiler,Barcelona,257,1166780,2005-01-10,Jesús
489,490,2004-07-02,Parking,Alquiler,Barcelona,234,1911312,2005-04-08,Luisa
493,494,2004-07-03,Piso,Venta,Barcelona,274,1729762,2005-07-03,Luisa
494,495,2004-07-03,Oficina,Venta,Barcelona,268,2578696,2005-06-28,Luisa
498,499,2004-07-04,Casa,Venta,Barcelona,61,531432,2005-05-22,Joaquín
502,503,2004-07-05,Piso,Venta,Barcelona,72,647352,2005-06-07,María
507,508,2004-07-05,Local,Venta,Barcelona,271,2297538,2004-11-22,Jesús
509,510,2004-07-06,Industrial,Alquiler,Barcelona,227,1175860,2005-07-05,Joaquín
512,513,2004-07-06,Casa,Alquiler,Barcelona,191,1841622,2005-01-21,Jesús
514,515,2004-07-08,Oficina,Alquiler,Barcelona,47,262777,2004-12-22,Carmen
515,516,2004-07-08,Oficina,Alquiler,Barcelona,119,720902,2005-06-23,Carmen
518,519,2004-07-09,Piso,Alquiler,Barcelona,123,682773,2005-01-30,Luisa
520,521,2004-07-09,Parking,Venta,Barcelona,105,740355,2004-12-08,Luisa
523,524,2004-07-10,Piso,Alquiler,Barcelona,159,1536576,2005-06-24,Pedro
526,527,2004-07-11,Industrial,Alquiler,Barcelona,231,935781,2004-11-13,Joaquín
530,531,2004-07-12,Industrial,Alquiler,Barcelona,112,712768,2005-06-14,Carmen
538,539,2004-07-16,Parking,Alquiler,Barcelona,111,761793,2005-07-11,María
541,542,2004-07-16,Oficina,Venta,Barcelona,182,1514968,2004-10-24,María
547,548,2004-07-20,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
551,552,2004-07-21,Local,Venta,Barcelona,125,804625,2005-06-26,Carmen
552,553,2004-07-21,Oficina,Venta,Barcelona,209,1568754,2004-12-15,Pedro
553,554,2004-07-21,Parking,Venta,Barcelona,141,867009,2004-11-21,Joaquín
562,563,2004-07-25,Piso,Venta,Barcelona,237,1272216,2005-04-27,Jesús
564,565,2004-07-25,Suelo,Venta,Barcelona,147,917868,2004-11-15,Joaquín
566,567,2004-07-26,Local,Venta,Barcelona,98,469910,2005-01-08,Joaquín
574,575,2004-07-28,Parking,Alquiler,Barcelona,280,1877400,2005-04-21,Joaquín
575,576,2004-07-29,Casa,Venta,Barcelona,54,435348,2005-02-20,Pedro
576,577,2004-07-29,Oficina,Venta,Barcelona,154,889658,2005-06-22,Joaquín
586,587,2004-08-02,Piso,Alquiler,Barcelona,184,1286344,2005-07-02,Joaquín
594,595,2004-08-04,Industrial,Venta,Barcelona,262,1343798,2005-04-15,Jesús
599,600,2004-08-08,Oficina,Alquiler,Barcelona,289,1275646,2005-01-29,Pedro
602,603,2004-08-09,Casa,Alquiler,Barcelona,174,1408182,2005-05-23,Jesús
606,607,2004-08-10,Parking,Venta,Barcelona,49,418019,2005-02-22,Pedro
609,610,2004-08-11,Local,Venta,Barcelona,127,1058545,2005-01-23,Joaquín
610,611,2004-08-11,Casa,Venta,Barcelona,294,2658936,2005-06-21,Luisa
612,613,2004-08-11,Industrial,Venta,Barcelona,225,1879200,2004-11-19,Pedro
613,614,2004-08-12,Casa,Alquiler,Barcelona,241,1085705,2005-01-28,Pedro
615,616,2004-08-12,Piso,Alquiler,Barcelona,231,1237929,2005-04-13,Luisa
618,619,2004-08-13,Suelo,Alquiler,Barcelona,93,705963,2005-03-30,Pedro
619,620,2004-08-14,Suelo,Alquiler,Barcelona,58,406290,2005-07-04,Carmen
621,622,2004-08-14,Piso,Venta,Barcelona,123,1116348,2005-06-29,Luisa
630,631,2004-08-17,Parking,Alquiler,Barcelona,272,1972816,2005-08-14,Carmen
636,637,2004-08-18,Parking,Alquiler,Barcelona,95,938030,2005-06-03,María
646,647,2004-08-21,Piso,Venta,Barcelona,67,346256,2005-05-18,Luisa
658,659,2004-08-23,Casa,Alquiler,Barcelona,72,500400,2005-01-22,María
662,663,2004-08-24,Local,Alquiler,Barcelona,47,463843,2005-02-19,Joaquín
666,667,2004-08-26,Oficina,Venta,Barcelona,116,651920,2005-05-09,María
667,668,2004-08-27,Parking,Venta,Barcelona,195,1513005,2005-01-21,Pedro
669,670,2004-08-28,Industrial,Venta,Barcelona,289,2188597,2005-04-27,María
670,671,2004-08-28,Suelo,Alquiler,Barcelona,235,1277930,2005-04-07,Luisa
672,673,2004-08-29,Industrial,Venta,Barcelona,67,479318,2005-04-03,Luisa
674,675,2004-08-29,Oficina,Alquiler,Barcelona,62,329716,2005-05-10,Pedro
677,678,2004-08-30,Industrial,Venta,Barcelona,225,1239300,2005-01-29,María
692,693,2004-09-03,Suelo,Venta,Barcelona,269,1722407,2004-12-21,Jesús
696,697,2004-09-04,Local,Alquiler,Barcelona,163,1570016,2005-08-04,Carmen
703,704,2004-09-08,Piso,Alquiler,Barcelona,278,2540364,2005-04-12,Carmen
712,713,2004-09-10,Casa,Venta,Barcelona,73,688463,2005-08-08,Luisa
715,716,2004-09-10,Oficina,Alquiler,Barcelona,206,1793848,2005-09-03,Luisa
723,724,2004-09-12,Oficina,Alquiler,Barcelona,241,2085373,2005-07-07,Joaquín
724,725,2004-09-13,Oficina,Alquiler,Barcelona,180,901980,2005-02-07,Carmen
727,728,2004-09-16,Suelo,Venta,Barcelona,139,585746,2005-05-03,Pedro
734,735,2004-09-18,Oficina,Alquiler,Barcelona,89,588023,2005-06-26,Joaquín
735,736,2004-09-19,Industrial,Venta,Barcelona,112,840560,2005-06-29,Pedro
738,739,2004-09-20,Piso,Venta,Barcelona,250,1527750,2005-02-10,Luisa
739,740,2004-09-21,Parking,Alquiler,Barcelona,254,2328418,2005-01-06,Joaquín
741,742,2004-09-22,Suelo,Venta,Barcelona,218,1330236,2004-12-27,Pedro
743,744,2004-09-22,Casa,Venta,Barcelona,99,538065,2005-06-19,Jesús
746,747,2004-09-22,Suelo,Alquiler,Barcelona,178,1355470,2004-12-24,María
751,752,2004-09-25,Local,Venta,Barcelona,182,1509872,2005-08-05,Luisa
756,757,2004-09-26,Industrial,Venta,Barcelona,42,306726,2005-06-16,Jesús
757,758,2004-09-26,Piso,Venta,Barcelona,272,1535168,2005-07-26,Luisa
759,760,2004-09-26,Casa,Alquiler,Barcelona,299,1695330,2005-07-14,Joaquín
761,762,2004-09-26,Parking,Venta,Barcelona,48,371712,2005-08-14,María
766,767,2004-09-29,Piso,Alquiler,Barcelona,95,510150,2005-05-07,Jesús
768,769,2004-10-02,Casa,Venta,Barcelona,159,1162131,2005-08-25,Pedro
771,772,2004-10-04,Suelo,Venta,Barcelona,277,1363948,2005-01-02,Jesús
777,778,2004-10-06,Local,Alquiler,Barcelona,228,1554732,2005-08-17,Jesús
784,785,2004-10-06,Casa,Alquiler,Barcelona,228,1685148,2005-10-05,Luisa
786,787,2004-10-06,Casa,Venta,Barcelona,279,2064879,2005-05-07,María
788,789,2004-10-07,Piso,Venta,Barcelona,251,1781849,2005-07-23,Luisa
796,797,2004-10-11,Oficina,Venta,Barcelona,255,1442280,2005-05-04,Jesús
804,805,2004-10-14,Piso,Alquiler,Barcelona,243,1469178,2005-02-18,Pedro
809,810,2004-10-15,Industrial,Venta,Barcelona,51,334305,2005-09-25,Carmen
813,814,2004-10-17,Oficina,Alquiler,Barcelona,192,1627200,2005-01-27,Luisa
815,816,2004-10-18,Parking,Alquiler,Barcelona,232,2180104,2005-07-19,Joaquín
816,817,2004-10-18,Suelo,Alquiler,Barcelona,158,878638,2005-05-05,Joaquín
818,819,2004-10-19,Parking,Venta,Barcelona,102,562632,2005-09-01,Luisa
827,828,2004-10-23,Industrial,Alquiler,Barcelona,199,1278774,2005-04-06,Pedro
833,834,2004-10-24,Casa,Venta,Barcelona,73,592103,2005-03-21,Jesús
841,842,2004-10-29,Suelo,Venta,Barcelona,109,942196,2005-08-31,Joaquín
842,843,2004-10-30,Casa,Venta,Barcelona,175,1712725,2005-03-12,Carmen
855,856,2004-11-03,Industrial,Venta,Barcelona,247,995657,2005-06-29,Jesús
858,859,2004-11-03,Suelo,Venta,Barcelona,65,397540,2005-05-22,Joaquín
861,862,2004-11-04,Local,Alquiler,Barcelona,152,631560,2005-10-28,Joaquín
862,863,2004-11-06,Oficina,Alquiler,Barcelona,246,2328636,2005-03-10,Luisa
877,878,2004-11-10,Industrial,Alquiler,Barcelona,145,1372135,2005-04-18,Pedro
886,887,2004-11-13,Suelo,Alquiler,Barcelona,160,1356160,2005-11-08,Luisa
894,895,2004-11-14,Industrial,Alquiler,Barcelona,229,1341024,2005-09-12,Jesús
897,898,2004-11-15,Casa,Venta,Barcelona,258,2449452,2005-03-14,Jesús
898,899,2004-11-16,Local,Venta,Barcelona,58,315810,2005-06-14,Jesús
899,900,2004-11-16,Casa,Alquiler,Barcelona,136,1072768,2005-04-02,Pedro
901,902,2004-11-17,Oficina,Alquiler,Barcelona,294,2722146,2005-11-05,Joaquín
903,904,2004-11-17,Piso,Venta,Barcelona,62,455762,2005-07-25,Pedro
906,907,2004-11-18,Oficina,Alquiler,Barcelona,59,491706,2005-07-03,Jesús
910,911,2004-11-20,Local,Alquiler,Barcelona,135,1036665,2005-11-08,Pedro
919,920,2004-11-23,Industrial,Venta,Barcelona,137,1242042,2005-08-08,Luisa
925,926,2004-11-25,Suelo,Alquiler,Barcelona,298,2376550,2005-10-19,Luisa
926,927,2004-11-25,Suelo,Alquiler,Barcelona,151,709700,2005-03-16,Carmen
927,928,2004-11-26,Industrial,Alquiler,Barcelona,283,1615647,2005-06-06,Joaquín
937,938,2004-12-01,Local,Venta,Barcelona,158,766774,2005-03-24,Pedro
939,940,2004-12-02,Industrial,Venta,Barcelona,249,1662822,2005-07-11,Luisa
940,941,2004-12-02,Industrial,Venta,Barcelona,68,614244,2005-05-11,Jesús
948,949,2004-12-05,Parking,Alquiler,Barcelona,206,1241562,2005-07-27,María
950,951,2004-12-06,Oficina,Venta,Barcelona,65,307255,2005-10-11,Carmen
951,952,2004-12-07,Industrial,Venta,Barcelona,142,954808,2005-06-18,María
961,962,2004-12-10,Oficina,Alquiler,Barcelona,174,1271592,2005-07-13,Joaquín
975,976,2004-12-16,Local,Alquiler,Barcelona,232,1236560,2005-11-20,Pedro
976,977,2004-12-16,Suelo,Alquiler,Barcelona,199,1494490,2005-04-04,Joaquín
978,979,2004-12-18,Casa,Alquiler,Barcelona,97,672792,2005-05-23,Joaquín
979,980,2004-12-18,Suelo,Venta,Barcelona,122,589016,2005-10-04,Joaquín
981,982,2004-12-19,Casa,Alquiler,Barcelona,212,1588940,2005-08-29,Carmen
982,983,2004-12-19,Oficina,Alquiler,Barcelona,250,1127750,2005-04-04,Luisa
984,985,2004-12-20,Piso,Alquiler,Barcelona,270,2427300,2005-09-06,Pedro
989,990,2004-12-21,Industrial,Venta,Barcelona,182,1717898,2005-04-24,Pedro
990,991,2004-12-21,Oficina,Venta,Barcelona,233,1870757,2005-10-13,Luisa
1000,1001,2004-12-25,Local,Venta,Barcelona,250,1368750,2005-06-07,Luisa
1001,1002,2004-12-25,Piso,Alquiler,Barcelona,292,2677056,2005-07-22,María
1010,1011,2004-12-27,Piso,Alquiler,Barcelona,96,862848,2005-12-23,María
1012,1013,2004-12-31,Oficina,Venta,Barcelona,191,1657880,2005-09-06,Pedro
1013,1014,2004-12-31,Casa,Venta,Barcelona,146,1457226,2005-11-05,María
1014,1015,2004-12-31,Local,Alquiler,Barcelona,168,1508472,2005-12-03,Luisa
1015,1016,2005-01-01,Parking,Alquiler,Barcelona,142,1276864,2005-10-24,María
1017,1018,2005-01-01,Local,Alquiler,Barcelona,269,1360064,2005-08-17,Jesús
1023,1024,2005-01-03,Piso,Alquiler,Barcelona,172,1615424,2005-11-19,Carmen
1025,1026,2005-01-04,Parking,Alquiler,Barcelona,206,1231262,2005-07-10,Luisa
1030,1031,2005-01-05,Industrial,Alquiler,Barcelona,143,1106677,2005-08-08,María
1031,1032,2005-01-06,Industrial,Alquiler,Barcelona,170,1262250,2005-11-29,Luisa
1034,1035,2005-01-07,Industrial,Venta,Barcelona,252,2398788,2005-11-19,Jesús
1039,1040,2005-01-09,Local,Venta,Barcelona,162,1315440,2005-09-16,Jesús
1046,1047,2005-01-11,Oficina,Alquiler,Barcelona,157,949693,2005-11-27,Jesús
1047,1048,2005-01-12,Casa,Alquiler,Barcelona,279,2362572,2005-09-25,Luisa
1048,1049,2005-01-12,Oficina,Venta,Barcelona,73,672987,2005-04-21,Joaquín
1053,1054,2005-01-14,Oficina,Alquiler,Barcelona,251,2138771,2005-05-15,Carmen
1056,1057,2005-01-15,Casa,Venta,Barcelona,90,599850,2005-12-30,María
1057,1058,2005-01-15,Parking,Venta,Barcelona,221,1919827,2006-01-06,Joaquín
1059,1060,2005-01-17,Piso,Venta,Barcelona,80,500560,2005-12-11,Jesús
1060,1061,2005-01-17,Industrial,Venta,Barcelona,45,259515,2005-12-17,Joaquín
1062,1063,2005-01-19,Oficina,Venta,Barcelona,213,1886541,2005-09-05,Jesús
1067,1068,2005-01-21,Parking,Venta,Barcelona,221,1471197,2005-10-17,Joaquín
1074,1075,2005-01-23,Parking,Alquiler,Barcelona,290,2275050,2005-09-20,Jesús
1076,1077,2005-01-23,Local,Alquiler,Barcelona,212,1911604,2006-01-14,María
1077,1078,2005-01-24,Oficina,Alquiler,Barcelona,254,1850644,2005-11-28,Carmen
1080,1081,2005-01-24,Piso,Alquiler,Barcelona,180,1128420,2005-10-13,Carmen
1084,1085,2005-01-25,Industrial,Venta,Barcelona,47,424175,2005-06-19,Joaquín
1088,1089,2005-01-27,Industrial,Venta,Barcelona,168,1081248,2005-06-01,Carmen
1089,1090,2005-01-28,Local,Alquiler,Barcelona,253,1816793,2005-10-22,Pedro
1093,1094,2005-02-01,Piso,Venta,Barcelona,139,1187477,2005-05-31,Carmen
1094,1095,2005-02-01,Local,Venta,Barcelona,300,1772700,2006-01-03,María
1097,1098,2005-02-01,Suelo,Venta,Barcelona,262,1960808,2005-09-11,Pedro
1110,1111,2005-02-06,Parking,Alquiler,Barcelona,87,372447,2005-07-17,Jesús
1111,1112,2005-02-06,Industrial,Alquiler,Barcelona,210,1602300,2005-06-26,Pedro
1118,1119,2005-02-10,Local,Alquiler,Barcelona,286,1912482,2005-11-26,Pedro
1127,1128,2005-02-14,Parking,Venta,Barcelona,229,1859480,2006-01-06,Joaquín
1129,1130,2005-02-15,Casa,Alquiler,Barcelona,58,444338,2005-06-04,Carmen
1130,1131,2005-02-15,Parking,Venta,Barcelona,156,795912,2006-01-06,Carmen
1131,1132,2005-02-15,Piso,Alquiler,Barcelona,92,900956,2005-06-14,Pedro
1133,1134,2005-02-15,Local,Venta,Barcelona,122,879254,2005-06-25,Luisa
1137,1138,2005-02-16,Casa,Venta,Barcelona,257,1066550,2005-09-23,Carmen
1142,1143,2005-02-17,Suelo,Alquiler,Barcelona,254,1394206,2005-05-28,Carmen
1143,1144,2005-02-17,Suelo,Alquiler,Barcelona,256,2176768,2006-02-13,Carmen
1145,1146,2005-02-17,Oficina,Venta,Barcelona,198,1090782,2006-02-01,Joaquín
1147,1148,2005-02-18,Oficina,Alquiler,Barcelona,233,984192,2006-01-28,Jesús
1150,1151,2005-02-18,Local,Venta,Barcelona,158,1308398,2006-02-05,Carmen
1153,1154,2005-02-20,Piso,Alquiler,Barcelona,292,2865688,2005-08-21,Carmen
1157,1158,2005-02-20,Oficina,Venta,Barcelona,298,2436448,2005-08-13,Carmen
1159,1160,2005-02-21,Industrial,Venta,Barcelona,276,2148384,2005-10-12,Jesús
1175,1176,2005-02-26,Casa,Venta,Barcelona,133,1305129,2005-12-22,Joaquín
1178,1179,2005-02-27,Casa,Venta,Barcelona,91,780598,2005-11-07,Jesús
1179,1180,2005-02-28,Oficina,Alquiler,Barcelona,70,354270,2005-11-18,Jesús
1180,1181,2005-02-28,Casa,Alquiler,Barcelona,45,425790,2006-01-16,María
1184,1185,2005-03-02,Piso,Venta,Barcelona,236,1388388,2006-02-04,Joaquín
1188,1189,2005-03-03,Piso,Alquiler,Barcelona,255,1471605,2005-10-11,Carmen
1190,1191,2005-03-03,Industrial,Venta,Barcelona,142,1256274,2005-07-21,Pedro
1192,1193,2005-03-04,Casa,Alquiler,Barcelona,239,1320236,2005-08-03,Carmen
1197,1198,2005-03-06,Piso,Venta,Barcelona,98,917378,2005-12-06,Pedro
1198,1199,2005-03-06,Oficina,Alquiler,Barcelona,42,235746,2005-07-25,Joaquín
1199,1200,2005-03-06,Local,Venta,Barcelona,60,474600,2005-10-01,Luisa
1203,1204,2005-03-07,Oficina,Venta,Barcelona,255,2151435,2005-08-26,Pedro
1204,1205,2005-03-07,Local,Venta,Barcelona,213,2105079,2005-07-25,Joaquín
1205,1206,2005-03-07,Suelo,Venta,Barcelona,117,953316,2005-12-27,María
1211,1212,2005-03-10,Casa,Venta,Barcelona,143,1246960,2005-09-28,Carmen
1216,1217,2005-03-11,Casa,Venta,Barcelona,184,1830800,2006-01-25,Pedro
1218,1219,2005-03-11,Suelo,Venta,Barcelona,251,2234653,2005-08-01,Luisa
