,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
65,66,2004-01-27,Suelo,Venta,Lleida,272,2119424,2004-12-24,Pedro
68,69,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09,María
70,71,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01,Carmen
73,74,2004-01-29,Industrial,Venta,Girona,229,1098055,2004-10-22,Joaquín
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
81,82,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14,Pedro
85,86,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08,Jesús
89,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
98,99,2004-02-07,Industrial,Alquiler,Girona,251,2067236,2004-12-22,María
100,101,2004-02-08,Suelo,Alquiler,Girona,162,710694,2004-09-27,María
102,103,2004-02-08,Casa,Alquiler,Girona,258,1188090,2004-07-19,María
104,105,2004-02-10,Piso,Alquiler,Girona,238,1854496,2005-02-02,Luisa
105,106,2004-02-10,Piso,Alquiler,Lleida,300,2105700,2005-01-26,Pedro
106,107,2004-02-10,Suelo,Alquiler,Girona,222,1791318,2004-12-13,Jesús
108,109,2004-02-12,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09,Pedro
113,114,2004-02-14,Suelo,Venta,Girona,103,806799,2005-01-11,Joaquín
115,116,2004-02-15,Parking,Venta,Girona,103,973659,2005-01-04,Jesús
116,117,2004-02-15,Oficina,Venta,Girona,274,1724008,2004-09-26,Joaquín
117,118,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10,Luisa
121,122,2004-02-17,Casa,Alquiler,Barcelona,270,1385910,2005-02-05,Pedro
122,123,2004-02-17,Local,Alquiler,Girona,179,1461356,2004-07-30,Pedro
124,125,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25,Carmen
133,134,2004-02-22,Oficina,Alquiler,Tarragona,275,1765225,2005-02-20,Joaquín
137,138,2004-02-24,Industrial,Venta,Girona,88,678480,2004-12-28,Luisa
144,145,2004-02-28,Piso,Venta,Girona,50,315550,2004-10-14,Pedro
145,146,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20,Luisa
154,155,2004-03-03,Suelo,Alquiler,Girona,185,1403595,2004-10-02,Pedro
155,156,2004-03-03,Casa,Venta,Girona,284,1561432,2004-07-01,Pedro
161,162,2004-03-05,Piso,Alquiler,Lleida,251,1361675,2004-08-16,Jesús
162,163,2004-03-05,Local,Venta,Tarragona,266,1161090,2004-11-23,Carmen
163,164,2004-03-05,Oficina,Alquiler,Girona,287,1395681,2004-09-13,Carmen
166,167,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14,Luisa
168,169,2004-03-07,Industrial,Alquiler,Barcelona,286,2080078,2004-07-14,Jesús
170,171,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13,Joaquín
172,173,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08,Joaquín
182,183,2004-03-14,Local,Alquiler,Girona,231,1446522,2004-09-02,Carmen
183,184,2004-03-14,Suelo,Venta,Tarragona,273,1447992,2004-10-24,Pedro
184,185,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27,María
185,186,2004-03-16,Casa,Alquiler,Girona,87,779868,2004-10-23,Jesús
188,189,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25,Jesús
191,192,2004-03-18,Local,Venta,Girona,56,553616,2005-03-09,Pedro
193,194,2004-03-19,Local,Alquiler,Girona,117,986895,2004-09-14,Pedro
194,195,2004-03-19,Piso,Venta,Girona,62,250852,2004-07-21,Carmen
195,196,2004-03-20,Piso,Alquiler,Barcelona,281,1336717,2004-11-10,Carmen
197,198,2004-03-21,Oficina,Alquiler,Girona,174,720882,2004-08-14,Pedro
199,200,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26,Pedro
200,201,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09,Pedro
201,202,2004-03-22,Piso,Alquiler,Girona,52,298272,2004-08-13,María
202,203,2004-03-22,Local,Alquiler,Girona,169,902798,2004-07-16,Luisa
204,205,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04,Luisa
210,211,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
213,214,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26,Carmen
214,215,2004-03-27,Parking,Alquiler,Girona,214,1219158,2004-07-13,Pedro
215,216,2004-03-27,Industrial,Venta,Tarragona,263,1494892,2005-02-02,María
218,219,2004-03-29,Industrial,Alquiler,Girona,46,351256,2005-03-28,Luisa
221,222,2004-03-30,Local,Alquiler,Girona,82,420660,2004-10-02,María
222,223,2004-03-31,Suelo,Alquiler,Girona,62,489924,2004-09-09,Luisa
227,228,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12,Jesús
232,233,2004-04-03,Local,Alquiler,Girona,246,1362348,2004-10-05,Joaquín
233,234,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26,Carmen
235,236,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26,Carmen
236,237,2004-04-05,Piso,Venta,Tarragona,262,1748850,2004-10-07,Pedro
238,239,2004-04-05,Piso,Alquiler,Lleida,268,2338032,2005-01-02,Pedro
240,241,2004-04-06,Local,Venta,Lleida,260,2038660,2004-07-26,Carmen
242,243,2004-04-07,Local,Venta,Lleida,298,1870546,2005-03-31,Luisa
243,244,2004-04-07,Local,Alquiler,Tarragona,284,1431076,2004-12-22,María
245,246,2004-04-09,Local,Venta,Girona,287,1936102,2005-04-08,Jesús
247,248,2004-04-09,Suelo,Alquiler,Girona,136,873120,2004-12-26,Pedro
253,254,2004-04-10,Piso,Venta,Girona,67,379689,2004-10-29,Pedro
255,256,2004-04-10,Industrial,Venta,Girona,238,1620304,2004-10-05,Carmen
256,257,2004-04-11,Suelo,Alquiler,Lleida,261,1220697,2005-02-09,Carmen
259,260,2004-04-12,Piso,Alquiler,Tarragona,258,1750014,2004-12-09,Luisa
263,264,2004-04-14,Parking,Alquiler,Tarragona,258,1770912,2005-03-02,Jesús
266,267,2004-04-14,Casa,Venta,Girona,204,1291116,2004-09-27,Carmen
267,268,2004-04-15,Industrial,Alquiler,Girona,150,968250,2005-02-15,María
271,272,2004-04-15,Suelo,Venta,Lleida,270,2409210,2004-09-03,Carmen
274,275,2004-04-16,Local,Alquiler,Girona,193,1079449,2004-11-20,Pedro
275,276,2004-04-17,Oficina,Alquiler,Girona,110,1039500,2004-11-17,Pedro
277,278,2004-04-17,Suelo,Alquiler,Girona,125,853750,2004-08-25,Carmen
278,279,2004-04-18,Suelo,Venta,Girona,244,1414956,2005-02-26,María
280,281,2004-04-18,Oficina,Venta,Girona,258,1081278,2005-04-13,Carmen
281,282,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28,Jesús
283,284,2004-04-19,Suelo,Alquiler,Girona,262,2404898,2004-10-20,Luisa
289,290,2004-04-20,Oficina,Alquiler,Girona,227,1437818,2005-03-27,Jesús
290,291,2004-04-21,Casa,Alquiler,Tarragona,295,1877675,2004-09-11,Pedro
292,293,2004-04-22,Parking,Venta,Girona,82,430418,2005-02-09,Luisa
293,294,2004-04-22,Oficina,Venta,Girona,86,589960,2005-03-18,Carmen
294,295,2004-04-22,Oficina,Venta,Girona,133,786695,2004-11-21,Luisa
296,297,2004-04-23,Suelo,Alquiler,Girona,288,2699136,2004-07-28,Pedro
298,299,2004-04-23,Industrial,Venta,Girona,45,307170,2005-04-16,Joaquín
301,302,2004-04-24,Industrial,Alquiler,Girona,211,1171894,2005-03-22,Pedro
302,303,2004-04-25,Oficina,Venta,Girona,209,1728221,2004-08-30,Carmen
303,304,2004-04-26,Casa,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
304,305,2004-04-27,Oficina,Venta,Girona,249,1150380,2004-11-18,Joaquín
311,312,2004-04-29,Industrial,Venta,Girona,189,1579284,2005-01-07,Luisa
314,315,2004-05-01,Casa,Alquiler,Barcelona,251,2439971,2005-02-14,Joaquín
315,316,2004-05-02,Industrial,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
316,317,2004-05-02,Parking,Alquiler,Barcelona,251,1754992,2004-08-26,Jesús
319,320,2004-05-02,Industrial,Alquiler,Girona,277,2456159,2004-08-04,María
320,321,2004-05-03,Industrial,Alquiler,Girona,190,977740,2004-08-12,Pedro
324,325,2004-05-04,Piso,Venta,Girona,60,332400,2004-08-30,Joaquín
327,328,2004-05-04,Suelo,Venta,Barcelona,273,1369368,2005-04-17,Jesús
328,329,2004-05-04,Industrial,Venta,Lleida,285,1922325,2004-11-11,María
329,330,2004-05-05,Parking,Alquiler,Girona,125,1189250,2004-10-26,Pedro
331,332,2004-05-06,Local,Alquiler,Girona,138,877680,2005-03-31,Luisa
336,337,2004-05-08,Oficina,Venta,Girona,102,413610,2004-09-15,Pedro
338,339,2004-05-09,Suelo,Alquiler,Girona,75,683175,2004-09-04,Joaquín
341,342,2004-05-10,Local,Alquiler,Lleida,259,1992228,2004-12-21,Pedro
347,348,2004-05-11,Oficina,Alquiler,Girona,187,1560889,2005-03-26,Joaquín
349,350,2004-05-13,Oficina,Venta,Girona,103,680830,2004-09-21,María
350,351,2004-05-13,Piso,Alquiler,Girona,75,418725,2005-04-24,Pedro
352,353,2004-05-14,Piso,Alquiler,Tarragona,257,1980185,2004-08-14,Carmen
353,354,2004-05-14,Piso,Venta,Girona,122,885476,2005-03-30,Carmen
356,357,2004-05-15,Suelo,Venta,Girona,196,1707944,2004-08-19,Pedro
360,361,2004-05-17,Local,Venta,Lleida,291,1505925,2005-03-10,Luisa
362,363,2004-05-18,Suelo,Alquiler,Girona,68,378624,2005-03-30,Carmen
363,364,2004-05-18,Local,Venta,Lleida,267,1257036,2004-12-26,Luisa
367,368,2004-05-18,Casa,Venta,Girona,80,354320,2004-10-18,Carmen
369,370,2004-05-19,Suelo,Alquiler,Tarragona,285,1377975,2004-09-14,Jesús
377,378,2004-05-24,Suelo,Alquiler,Girona,280,1680000,2004-09-17,María
378,379,2004-05-24,Piso,Venta,Girona,108,812808,2004-10-13,Jesús
379,380,2004-05-25,Local,Venta,Lleida,269,2586704,2005-03-27,Carmen
380,381,2004-05-25,Casa,Venta,Girona,123,775884,2004-10-21,Joaquín
381,382,2004-05-26,Suelo,Alquiler,Lleida,264,2582184,2005-04-24,Luisa
382,383,2004-05-26,Industrial,Alquiler,Lleida,298,1331166,2004-12-28,Joaquín
385,386,2004-05-26,Parking,Alquiler,Girona,184,830760,2004-09-13,Pedro
387,388,2004-05-28,Parking,Alquiler,Girona,137,835152,2005-02-13,Jesús
390,391,2004-05-30,Suelo,Venta,Girona,300,1483500,2005-03-29,Carmen
392,393,2004-05-31,Piso,Venta,Girona,225,1164375,2005-03-04,Pedro
394,395,2004-05-31,Casa,Alquiler,Girona,192,1159296,2005-05-23,Carmen
395,396,2004-05-31,Parking,Alquiler,Lleida,296,1602544,2004-09-07,Jesús
397,398,2004-06-01,Industrial,Venta,Girona,72,427824,2004-11-08,Luisa
400,401,2004-06-02,Piso,Alquiler,Barcelona,271,2682900,2005-06-02,Pedro
401,402,2004-06-02,Industrial,Alquiler,Lleida,278,2188138,2005-01-21,María
402,403,2004-06-02,Piso,Venta,Girona,90,770040,2005-04-26,Jesús
408,409,2004-06-04,Parking,Venta,Girona,293,1750089,2005-04-05,Luisa
410,411,2004-06-05,Local,Venta,Girona,90,742770,2004-11-27,Luisa
411,412,2004-06-05,Local,Venta,Girona,148,1268952,2004-10-14,María
416,417,2004-06-07,Suelo,Venta,Barcelona,254,1381506,2005-04-14,Luisa
417,418,2004-06-07,Industrial,Alquiler,Girona,287,2452989,2005-01-26,Joaquín
418,419,2004-06-07,Parking,Venta,Girona,174,952302,2004-12-06,Luisa
422,423,2004-06-09,Local,Alquiler,Barcelona,260,1090180,2004-12-16,Luisa
423,424,2004-06-09,Parking,Venta,Barcelona,261,1945755,2004-11-06,Jesús
424,425,2004-06-09,Casa,Venta,Girona,173,1117753,2004-12-11,María
428,429,2004-06-11,Parking,Alquiler,Tarragona,271,2190493,2004-11-02,Jesús
434,435,2004-06-13,Industrial,Alquiler,Girona,233,1541528,2005-02-03,Jesús
436,437,2004-06-14,Parking,Venta,Girona,107,909821,2005-05-03,Luisa
438,439,2004-06-15,Oficina,Alquiler,Girona,298,2524358,2004-10-23,Luisa
442,443,2004-06-17,Piso,Alquiler,Girona,245,1001070,2004-10-14,Jesús
444,445,2004-06-17,Local,Alquiler,Girona,44,189156,2004-11-25,Jesús
446,447,2004-06-17,Parking,Alquiler,Lleida,263,1779458,2005-01-24,Pedro
447,448,2004-06-17,Local,Alquiler,Girona,234,1159470,2004-10-02,Pedro
448,449,2004-06-17,Local,Venta,Girona,118,788948,2005-04-08,Pedro
452,453,2004-06-19,Suelo,Venta,Girona,185,1616900,2005-04-08,Jesús
458,459,2004-06-21,Oficina,Venta,Girona,107,590426,2004-11-03,María
460,461,2004-06-22,Casa,Venta,Girona,90,412740,2004-09-26,María
462,463,2004-06-23,Casa,Venta,Girona,214,1962380,2005-06-01,Pedro
463,464,2004-06-24,Casa,Alquiler,Girona,143,836836,2005-06-15,Luisa
464,465,2004-06-24,Industrial,Alquiler,Lleida,268,2628812,2005-03-15,Pedro
466,467,2004-06-24,Local,Venta,Girona,126,520758,2005-06-16,Pedro
471,472,2004-06-25,Suelo,Venta,Tarragona,297,1820016,2005-01-08,María
473,474,2004-06-25,Suelo,Venta,Girona,199,1622646,2005-06-23,Jesús
478,479,2004-06-28,Oficina,Venta,Girona,232,1028224,2005-05-26,Luisa
480,481,2004-06-29,Oficina,Alquiler,Barcelona,257,1166780,2005-01-10,Jesús
483,484,2004-06-30,Casa,Venta,Girona,153,1506438,2004-12-03,Luisa
485,486,2004-06-30,Piso,Venta,Girona,283,2199476,2005-06-04,Luisa
486,487,2004-06-30,Casa,Venta,Lleida,261,2475063,2005-01-21,Carmen
490,491,2004-07-02,Piso,Alquiler,Girona,62,358670,2005-06-04,Luisa
491,492,2004-07-03,Local,Venta,Lleida,282,1298328,2005-03-10,Jesús
492,493,2004-07-03,Parking,Alquiler,Lleida,299,1948583,2004-12-21,María
493,494,2004-07-03,Piso,Venta,Barcelona,274,1729762,2005-07-03,Luisa
494,495,2004-07-03,Oficina,Venta,Barcelona,268,2578696,2005-06-28,Luisa
496,497,2004-07-03,Oficina,Venta,Girona,209,1316073,2005-04-02,Pedro
507,508,2004-07-05,Local,Venta,Barcelona,271,2297538,2004-11-22,Jesús
516,517,2004-07-08,Industrial,Venta,Girona,174,1313526,2005-01-16,Pedro
517,518,2004-07-08,Casa,Venta,Girona,108,638064,2004-10-24,Luisa
522,523,2004-07-09,Suelo,Alquiler,Girona,270,1429380,2005-03-25,Carmen
524,525,2004-07-10,Parking,Venta,Lleida,280,1249360,2005-01-09,Pedro
525,526,2004-07-11,Parking,Venta,Girona,162,1594404,2005-03-07,María
533,534,2004-07-14,Oficina,Venta,Girona,62,410316,2004-12-27,Luisa
534,535,2004-07-14,Industrial,Alquiler,Lleida,280,1730680,2005-05-07,Carmen
535,536,2004-07-14,Casa,Venta,Girona,197,1292123,2005-06-30,Joaquín
536,537,2004-07-14,Local,Alquiler,Girona,117,1031121,2005-04-30,Luisa
537,538,2004-07-15,Industrial,Alquiler,Girona,279,2161134,2005-03-09,María
540,541,2004-07-16,Casa,Alquiler,Girona,62,251596,2005-06-20,Jesús
546,547,2004-07-20,Casa,Alquiler,Girona,200,1000000,2004-12-13,Jesús
547,548,2004-07-20,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
548,549,2004-07-20,Local,Venta,Girona,237,1403988,2005-06-27,Carmen
549,550,2004-07-21,Casa,Alquiler,Lleida,275,1711325,2005-04-27,Luisa
550,551,2004-07-21,Piso,Alquiler,Girona,237,2215002,2004-10-31,Pedro
554,555,2004-07-22,Piso,Venta,Girona,138,1289748,2004-12-25,Luisa
556,557,2004-07-23,Piso,Alquiler,Girona,198,1916442,2005-04-14,Joaquín
557,558,2004-07-24,Piso,Alquiler,Girona,246,1875012,2005-03-08,Luisa
559,560,2004-07-25,Industrial,Alquiler,Tarragona,285,1412175,2004-12-01,Pedro
561,562,2004-07-25,Piso,Alquiler,Girona,161,960526,2005-06-21,Joaquín
565,566,2004-07-26,Local,Alquiler,Girona,266,1881950,2005-01-15,María
574,575,2004-07-28,Parking,Alquiler,Barcelona,280,1877400,2005-04-21,Joaquín
577,578,2004-07-29,Oficina,Venta,Girona,221,1571973,2004-12-25,Joaquín
578,579,2004-07-29,Industrial,Venta,Girona,148,811780,2005-04-17,Luisa
581,582,2004-07-31,Industrial,Venta,Lleida,290,2584480,2004-11-22,Jesús
582,583,2004-07-31,Local,Venta,Tarragona,297,1767744,2005-03-23,Pedro
583,584,2004-08-01,Casa,Alquiler,Girona,257,1077601,2005-02-07,Luisa
584,585,2004-08-01,Parking,Alquiler,Girona,161,1050203,2005-02-04,Joaquín
590,591,2004-08-03,Suelo,Alquiler,Girona,46,435712,2005-03-31,Luisa
591,592,2004-08-03,Parking,Alquiler,Girona,145,999630,2005-05-01,Pedro
594,595,2004-08-04,Industrial,Venta,Barcelona,262,1343798,2005-04-15,Jesús
599,600,2004-08-08,Oficina,Alquiler,Barcelona,289,1275646,2005-01-29,Pedro
600,601,2004-08-08,Casa,Alquiler,Girona,147,919632,2005-06-23,Luisa
601,602,2004-08-09,Industrial,Venta,Girona,227,1218763,2005-07-27,Joaquín
608,609,2004-08-11,Suelo,Venta,Lleida,287,1790880,2004-11-18,Pedro
610,611,2004-08-11,Casa,Venta,Barcelona,294,2658936,2005-06-21,Luisa
611,612,2004-08-11,Casa,Alquiler,Girona,92,879244,2005-05-06,Joaquín
614,615,2004-08-12,Local,Venta,Lleida,283,1992320,2005-04-07,María
624,625,2004-08-15,Industrial,Alquiler,Girona,222,2171826,2005-01-12,Carmen
625,626,2004-08-16,Piso,Alquiler,Tarragona,263,2061131,2005-07-28,Joaquín
628,629,2004-08-17,Piso,Venta,Girona,249,1427019,2004-12-04,Jesús
629,630,2004-08-17,Parking,Alquiler,Girona,170,1567060,2005-02-19,María
630,631,2004-08-17,Parking,Alquiler,Barcelona,272,1972816,2005-08-14,Carmen
631,632,2004-08-17,Piso,Venta,Girona,201,1816437,2005-05-10,Pedro
632,633,2004-08-17,Parking,Alquiler,Girona,167,1191044,2005-01-11,Luisa
633,634,2004-08-18,Piso,Alquiler,Tarragona,283,2576432,2005-05-13,María
634,635,2004-08-18,Local,Alquiler,Girona,197,981651,2005-01-17,Jesús
638,639,2004-08-19,Piso,Alquiler,Girona,277,2646181,2005-07-04,Carmen
640,641,2004-08-19,Oficina,Venta,Girona,249,2306238,2005-03-02,María
641,642,2004-08-20,Industrial,Venta,Girona,119,711382,2005-08-01,Luisa
642,643,2004-08-20,Industrial,Alquiler,Lleida,255,2338095,2005-08-10,Carmen
647,648,2004-08-21,Oficina,Venta,Girona,267,1153173,2005-03-28,Pedro
650,651,2004-08-22,Piso,Venta,Girona,207,1015956,2005-06-17,Jesús
651,652,2004-08-22,Oficina,Alquiler,Girona,259,1080548,2004-12-31,María
653,654,2004-08-22,Oficina,Alquiler,Girona,207,1953873,2005-06-10,Luisa
654,655,2004-08-22,Oficina,Venta,Girona,293,2787016,2005-03-23,Luisa
655,656,2004-08-23,Oficina,Venta,Tarragona,252,1773072,2005-04-01,Luisa
656,657,2004-08-23,Casa,Venta,Lleida,284,1589832,2005-02-28,Luisa
657,658,2004-08-23,Parking,Venta,Tarragona,286,1442870,2005-08-09,Pedro
660,661,2004-08-23,Local,Venta,Girona,278,1730550,2004-12-09,María
661,662,2004-08-24,Parking,Alquiler,Girona,254,1963166,2005-07-27,Joaquín
663,664,2004-08-24,Local,Alquiler,Girona,252,2057832,2005-03-14,Luisa
664,665,2004-08-25,Local,Alquiler,Girona,163,1520627,2005-04-20,Pedro
665,666,2004-08-26,Suelo,Venta,Lleida,271,1457980,2005-05-09,Luisa
668,669,2004-08-27,Parking,Venta,Tarragona,290,1747830,2005-01-14,Luisa
669,670,2004-08-28,Industrial,Venta,Barcelona,289,2188597,2005-04-27,María
673,674,2004-08-29,Parking,Venta,Girona,152,1392168,2005-08-04,Pedro
675,676,2004-08-29,Casa,Venta,Girona,47,311563,2004-12-27,Carmen
680,681,2004-08-30,Industrial,Alquiler,Tarragona,284,1166104,2005-04-08,Jesús
681,682,2004-08-30,Oficina,Venta,Lleida,274,1577692,2005-05-11,Joaquín
684,685,2004-08-31,Piso,Venta,Girona,97,662316,2005-04-27,Carmen
688,689,2004-09-02,Parking,Venta,Girona,64,622144,2005-07-05,María
690,691,2004-09-02,Casa,Alquiler,Girona,118,827062,2005-03-22,Joaquín
692,693,2004-09-03,Suelo,Venta,Barcelona,269,1722407,2004-12-21,Jesús
695,696,2004-09-04,Suelo,Alquiler,Tarragona,256,1379328,2005-03-27,Luisa
697,698,2004-09-05,Parking,Alquiler,Girona,187,789140,2005-05-16,Carmen
698,699,2004-09-05,Suelo,Alquiler,Girona,73,542974,2005-06-14,Luisa
699,700,2004-09-06,Local,Alquiler,Girona,299,1251315,2005-01-20,Luisa
700,701,2004-09-06,Casa,Venta,Girona,225,2023200,2004-12-27,Joaquín
701,702,2004-09-07,Piso,Alquiler,Girona,295,2553225,2005-01-14,Carmen
703,704,2004-09-08,Piso,Alquiler,Barcelona,278,2540364,2005-04-12,Carmen
704,705,2004-09-08,Oficina,Alquiler,Tarragona,271,1165842,2005-02-10,Luisa
705,706,2004-09-08,Piso,Alquiler,Girona,258,1501560,2005-01-05,Joaquín
706,707,2004-09-08,Industrial,Venta,Girona,215,1713120,2005-05-27,Carmen
709,710,2004-09-09,Parking,Venta,Lleida,274,1291636,2005-05-24,María
710,711,2004-09-10,Casa,Venta,Tarragona,289,2114035,2004-12-14,Luisa
717,718,2004-09-11,Suelo,Alquiler,Girona,161,736092,2005-02-26,María
718,719,2004-09-11,Oficina,Venta,Tarragona,283,1565839,2005-06-15,Pedro
721,722,2004-09-12,Industrial,Alquiler,Girona,86,611546,2005-02-10,Carmen
722,723,2004-09-12,Casa,Alquiler,Girona,54,518508,2005-02-16,María
725,726,2004-09-13,Parking,Venta,Girona,112,1081360,2005-05-03,María
726,727,2004-09-15,Suelo,Alquiler,Girona,195,1168440,2004-12-30,Luisa
729,730,2004-09-16,Parking,Alquiler,Tarragona,284,1830664,2005-01-02,Pedro
730,731,2004-09-16,Casa,Venta,Girona,109,555246,2005-04-10,Joaquín
732,733,2004-09-17,Oficina,Alquiler,Girona,164,1225244,2005-08-07,Jesús
737,738,2004-09-19,Suelo,Alquiler,Lleida,294,1201578,2005-01-31,Luisa
739,740,2004-09-21,Parking,Alquiler,Barcelona,254,2328418,2005-01-06,Joaquín
747,748,2004-09-22,Industrial,Alquiler,Girona,228,2145480,2005-06-21,María
749,750,2004-09-23,Parking,Alquiler,Girona,294,1335936,2005-07-14,Carmen
750,751,2004-09-23,Parking,Venta,Girona,132,556116,2005-09-11,Luisa
753,754,2004-09-25,Piso,Alquiler,Tarragona,251,1206557,2005-05-20,María
757,758,2004-09-26,Piso,Venta,Barcelona,272,1535168,2005-07-26,Luisa
759,760,2004-09-26,Casa,Alquiler,Barcelona,299,1695330,2005-07-14,Joaquín
760,761,2004-09-26,Local,Venta,Girona,50,411700,2005-01-05,Carmen
762,763,2004-09-27,Piso,Alquiler,Girona,291,2411808,2005-02-28,Joaquín
763,764,2004-09-27,Oficina,Alquiler,Girona,210,1122240,2005-08-27,Pedro
764,765,2004-09-28,Local,Alquiler,Girona,291,2354481,2005-01-26,Carmen
765,766,2004-09-29,Piso,Alquiler,Girona,204,1044480,2005-04-17,Jesús
767,768,2004-09-29,Piso,Venta,Girona,231,1213212,2005-06-24,Carmen
770,771,2004-10-04,Industrial,Venta,Girona,44,223564,2005-09-26,Luisa
771,772,2004-10-04,Suelo,Venta,Barcelona,277,1363948,2005-01-02,Jesús
778,779,2004-10-06,Local,Alquiler,Tarragona,256,1877760,2005-04-14,María
781,782,2004-10-06,Suelo,Venta,Girona,74,299996,2005-09-02,María
782,783,2004-10-06,Oficina,Alquiler,Girona,219,1455693,2005-01-28,Joaquín
786,787,2004-10-06,Casa,Venta,Barcelona,279,2064879,2005-05-07,María
787,788,2004-10-07,Casa,Venta,Girona,92,853852,2005-09-25,Carmen
788,789,2004-10-07,Piso,Venta,Barcelona,251,1781849,2005-07-23,Luisa
790,791,2004-10-08,Industrial,Venta,Girona,113,869196,2005-07-28,Jesús
791,792,2004-10-08,Piso,Venta,Tarragona,292,1565120,2005-10-02,Joaquín
793,794,2004-10-10,Oficina,Venta,Tarragona,277,1522946,2005-03-09,Joaquín
796,797,2004-10-11,Oficina,Venta,Barcelona,255,1442280,2005-05-04,Jesús
797,798,2004-10-11,Piso,Venta,Girona,222,1478742,2005-09-24,Jesús
798,799,2004-10-11,Suelo,Alquiler,Tarragona,278,2209822,2005-02-27,Jesús
803,804,2004-10-13,Industrial,Venta,Girona,114,580032,2005-03-28,Jesús
